"endTime","artistName","trackName","msPlayed"
"2019-09-29 15:29","Token","Suitcase and a Passport","1400"
"2019-09-29 15:29","Token","Somewhere In Between","265395"
"2019-09-29 15:32","Token","Flamingo Video Shoot","192018"
"2019-09-29 15:51","Token","No Service","1086601"
"2019-09-29 15:53","Token","Dirty Flesh","1982"
"2019-09-29 15:53","Token","Goodbye!! (Bonus Track)","162198"
"2019-09-29 15:57","Eminem","Chloraseptic (feat. 2 Chainz & Phresher) - Remix","220707"
"2019-09-29 15:57","Eminem","Greatest","2310"
"2019-09-29 16:02","Eminem","Normal","0"
"2019-09-29 16:02","Eminem","Normal","687"
"2019-09-29 16:02","Paul Rosenberg","Paul - Skit","0"
"2019-09-29 16:02","Eminem","Fall","0"
"2019-09-29 16:02","Eminem","Nice Guy (with Jessie Reyez)","702"
"2019-09-29 16:02","Eminem","Stepping Stone","163"
"2019-09-29 16:02","Eminem","Stepping Stone","0"
"2019-09-29 16:02","Eminem","Not Alike (feat. Royce Da 5'9)","0"
"2019-09-29 16:02","Eminem","Lucky You (feat. Joyner Lucas)","270495"
"2019-09-29 16:02","Eminem","Em Calls Paul - Skit","0"
"2019-09-29 16:02","Eminem","Em Calls Paul - Skit","748"
"2019-09-29 16:02","Eminem","Kamikaze","0"
"2019-09-29 16:03","Eminem","Good Guy (feat. Jessie Reyez)","86880"
"2019-09-29 16:04","Eminem","Good Guy (feat. Jessie Reyez)","16882"
"2019-09-29 16:05","Hopsin","Caught In The Rain","87963"
"2019-09-29 16:08","NF","Thinking","1610"
"2019-09-29 16:08","NF","Options","0"
"2019-09-29 16:08","NF","WHY","157810"
"2019-09-29 16:08","NF","WHY","0"
"2019-09-29 16:08","NF","Like This","0"
"2019-09-29 16:11","NF","Options","178314"
"2019-09-29 16:11","NF","Like This","0"
"2019-09-29 16:14","NF","No Excuses","187071"
"2019-09-29 16:18","Conway the Machine","Bang (feat. Eminem)","216130"
"2019-09-29 16:20","Ed Sheeran","Remember The Name (feat. Eminem & 50 Cent)","148216"
"2019-09-29 16:22","Eminem","Offended","79815"
"2019-09-29 16:22","Eminem","Arose","5883"
"2019-09-29 16:22","Eminem","Remind Me","1876"
"2019-09-29 16:26","Eminem","Castle","271355"
"2019-09-29 16:29","Eminem","Arose","154328"
"2019-09-29 16:45","Lil Wayne","Love Me","0"
"2019-09-29 16:45","Eminem","Not Alike (feat. Royce Da 5'9)","970466"
"2019-09-29 16:48","Bad Meets Evil","Welcome 2 Hell","185426"
"2019-09-29 16:53","Bad Meets Evil","Fast Lane","251347"
"2019-09-29 16:54","Bad Meets Evil","The Reunion","105570"
"2019-09-29 16:56","Paul ""Bunyan"" Rosenberg","Paul - Skit","222"
"2019-09-29 16:56","Eminem","Stan","900"
"2019-09-29 16:56","Eminem","Kill You","86304"
"2019-09-29 17:01","Eminem","Who Knew","280208"
"2019-09-29 17:01","Eminem","Steve Berman","323"
"2019-09-29 17:04","Eminem","The Way I Am","237662"
"2019-09-29 17:05","Eminem","Bad Meets Evil","230"
"2019-09-29 17:13","Eminem","Evil Twin","517959"
"2019-09-29 17:13","Hopsin","Free Meal","6822"
"2019-09-29 17:19","Eminem","Rap God","315792"
"2019-09-29 17:23","Joyner Lucas","ADHD","243228"
"2019-09-29 17:26","Mads Veslelia","Wannabe","183087"
"2019-09-29 17:30","NF","Nate","280195"
"2019-09-29 17:33","NF","Trauma","135918"
"2019-10-04 07:57","NF","Trauma","102433"
"2019-10-04 07:59","NF","My Stress","90616"
"2019-10-04 08:04","NF","Nate","308534"
"2019-10-04 08:08","NF","Returns","232053"
"2019-10-04 08:11","NF","When I Grow Up","196800"
"2019-10-04 10:12","Token","Well","30310"
"2019-10-04 10:12","Token","Suitcase and a Passport","0"
"2019-10-04 10:12","Token","No Service","0"
"2019-10-04 10:12","Token","Flamingo Video Shoot","0"
"2019-10-04 10:12","Token","Same Difference","440"
"2019-10-04 10:12","Token","Mom Would Agree","10277"
"2019-10-04 10:12","Token","YouTube Rapper (Bonus Track)","0"
"2019-10-04 10:12","Token","Mail (Outro)","0"
"2019-10-04 10:12","Token","FBI","0"
"2019-10-04 10:12","Token","And You","992"
"2019-10-04 10:12","Token","Treehouse","0"
"2019-10-04 10:12","Token","7th Day","631"
"2019-10-04 10:12","Token","Goodbye!! (Bonus Track)","0"
"2019-10-04 10:16","Token","Somewhere In Between","221920"
"2019-10-04 10:23","Token","No Service","400078"
"2019-10-04 10:26","Token","Suitcase and a Passport","0"
"2019-10-04 10:26","Token","No Service","161"
"2019-10-04 10:26","Token","Flamingo Video Shoot","90"
"2019-10-04 10:26","Token","YouTube Rapper (Bonus Track)","814"
"2019-10-04 10:26","Token","Mail (Outro)","0"
"2019-10-04 10:26","Token","Mail (Outro)","5913"
"2019-10-04 10:28","Token","FBI","88762"
"2019-10-04 10:29","Token","Suitcase and a Passport","41818"
"2019-10-04 10:31","Eminem","Cleanin' Out My Closet","1745"
"2019-10-04 10:31","Eminem","Guilty Conscience","1686"
"2019-10-04 10:31","Eminem","Lose Yourself - From ""8 Mile"" Soundtrack","0"
"2019-10-04 10:31","Eminem","Stepping Stone","936"
"2019-10-04 10:33","JAY-Z","Renegade","80027"
"2019-10-04 10:33","50 Cent","Patiently Waiting","1204"
"2019-10-04 10:33","Eminem","Not Afraid","1043"
"2019-10-04 10:33","Eminem","Mockingbird","1472"
"2019-10-04 10:33","Eminem","Bad Guy","1876"
"2019-10-04 10:35","Eminem","Lucky You (feat. Joyner Lucas)","121742"
"2019-10-04 10:38","Eminem","My Name Is","172541"
"2019-10-04 11:24","NF","Let You Down","85"
"2019-10-04 11:24","NF","The Search","0"
"2019-10-04 11:24","NF","Grindin'","514"
"2019-10-04 11:24","NF","Paralyzed","0"
"2019-10-04 11:24","NF","Notepad","0"
"2019-10-04 11:24","NF","Therapy Session","1198"
"2019-10-04 11:24","NF","Only","330"
"2019-10-04 11:24","NF","Hate Myself","0"
"2019-10-04 11:24","NF","If You Want Love","355"
"2019-10-04 11:24","NF","All I Have","0"
"2019-10-04 11:24","NF","Real","0"
"2019-10-04 11:24","NF","Got You On My Mind","944"
"2019-10-04 11:24","NF","Just Being Me","0"
"2019-10-04 11:24","Futuristic","Epiphany (feat. NF)","10016"
"2019-10-04 11:24","NF","My Stress","0"
"2019-10-04 11:24","NF","WHY","642"
"2019-10-04 11:24","NF","Only One","0"
"2019-10-04 11:24","NF","NO NAME","0"
"2019-10-04 11:24","NF","How Could You Leave Us","0"
"2019-10-04 11:24","NF","-Interlude-","1064"
"2019-10-04 11:24","NF","Mansion","1051"
"2019-10-04 11:24","NF","Wake Up","0"
"2019-10-04 11:24","NF","Returns","597"
"2019-10-04 11:24","NF","Green Lights","0"
"2019-10-04 11:24","NF","Hands Up","2435"
"2019-10-04 11:26","NF","Thinking","103823"
"2019-10-04 11:26","NF","My Life","0"
"2019-10-04 11:26","NF","Oh Lord","914"
"2019-10-04 11:27","NF","Thing Called Love","25098"
"2019-10-04 11:29","NF","10 Feet Down","164520"
"2019-10-04 11:31","NF","When I Grow Up","74814"
"2019-10-04 11:31","NF","I Miss The Days","1373"
"2019-10-04 11:31","NF","Remember This","1971"
"2019-10-04 11:31","NF","Time - Edit","908"
"2019-10-04 11:34","NF","Change","207933"
"2019-10-04 11:34","NF","Time","2955"
"2019-10-04 11:40","NF","Leave Me Alone","322068"
"2019-10-04 11:43","NF","Warm Up","180506"
